"group","label","original_llm","strict_llm","keyword","positives_original","positives_strict"
"overall","전체",0.382376339106482,0.405010926918432,0.444605952556899,128,127
"covariate:discrim_any","차별 경험",0.612254154837084,0.680644568660517,0.698898845796293,55,55
"covariate:korean_c","한국어 능력",0.372729515012207,0.396355113692339,0.575128726793199,36,36
"covariate:gender","성별",0.339906224332791,0.30532755073558,0.282210708878192,14,14
"covariate:age_c","연령",0.225899897947859,0.252644569768636,0.251821201201499,20,19
"covariate:income_c","가구소득",0.0241345081722009,0.0317490843442796,0.134656084656085,3,3
