"group","label","original_llm","strict_llm","keyword","positives_original","positives_strict"
"overall","전체",0.207716673759195,0.201101002967683,0.302338311412333,70,69
"covariate:discrim_any","차별 경험",0.306935723623742,0.259831554356367,0.370336971467845,15,15
"covariate:korean_c","한국어 능력",0.360240805900785,0.328217154086367,0.582066365638407,28,28
"covariate:gender","성별",0.248054764527146,0.26988995247664,0.238549514270494,12,12
"covariate:age_c","연령",0.0495324579533586,0.0756264958590643,0.198110807321334,7,6
"covariate:income_c","가구소득",0.0566381299432235,0.0671835113913629,0.192026462449015,8,8
